Code,Name,Class
AFG,Afghanistan,L
ALB,Albania,UM
DZA,Algeria,UM
ASM,American Samoa,H
AND,Andorra,H
AGO,Angola,LM
ATG,Antigua and Barbuda,H
ARG,Argentina,UM
ARM,Armenia,UM
ABW,Aruba,H
AUS,Australia,H
AUT,Austria,H
AZE,Azerbaijan,UM
BHS,"Bahamas, The",H
BHR,Bahrain,H
BGD,Bangladesh,LM
BRB,Barbados,H
BLR,Belarus,UM
BEL,Belgium,H
BLZ,Belize,UM
BEN,Benin,LM
BMU,Bermuda,H
BTN,Bhutan,LM
BOL,Bolivia,LM
BIH,Bosnia and Herzegovina,UM
BWA,Botswana,UM
BRA,Brazil,UM
VGB,British Virgin Islands,H
BRN,Brunei Darussalam,H
BGR,Bulgaria,H
BFA,Burkina Faso,L
BDI,Burundi,L
CPV,Cabo Verde,UM
KHM,Cambodia,LM
CMR,Cameroon,LM
CAN,Canada,H
CYM,Cayman Islands,H
CAF,Central African Republic,L
TCD,Chad,L
CHI,Channel Islands,H
CHL,Chile,H
CHN,China,UM
COL,Colombia,UM
COM,Comoros,LM
COD,"Congo, Dem. Rep.",L
COG,"Congo, Rep.",LM
CRI,Costa Rica,H
CIV,Côte d'Ivoire,LM
HRV,Croatia,H
CUB,Cuba,UM
CUW,Curaçao,H
CYP,Cyprus,H
CZE,Czechia,H
DNK,Denmark,H
DJI,Djibouti,LM
DMA,Dominica,UM
DOM,Dominican Republic,UM
ECU,Ecuador,UM
EGY,"Egypt, Arab Rep.",LM
SLV,El Salvador,UM
GNQ,Equatorial Guinea,UM
ERI,Eritrea,L
EST,Estonia,H
SWZ,Eswatini,LM
ETH,Ethiopia,L
FRO,Faeroe Islands,H
FJI,Fiji,UM
FIN,Finland,H
FRA,France,H
PYF,French Polynesia,H
GAB,Gabon,UM
GMB,"Gambia, The",L
GEO,Georgia,UM
DEU,Germany,H
GHA,Ghana,LM
GIB,Gibraltar,H
GRC,Greece,H
GRL,Greenland,H
GRD,Grenada,UM
GUM,Guam,H
GTM,Guatemala,UM
GIN,Guinea,LM
GNB,Guinea-Bissau,L
GUY,Guyana,H
HTI,Haiti,LM
HND,Honduras,LM
HKG,"Hong Kong SAR, China",H
HUN,Hungary,H
ISL,Iceland,H
IND,India,LM
IDN,Indonesia,UM
IRN,"Iran, Islamic Rep.",UM
IRQ,Iraq,UM
IRL,Ireland,H
IMN,Isle of Man,H
ISR,Israel,H
ITA,Italy,H
JAM,Jamaica,UM
JPN,Japan,H
JOR,Jordan,LM
KAZ,Kazakhstan,UM
KEN,Kenya,LM
KIR,Kiribati,LM
PRK,"Korea, Dem. Rep.",L
KOR,"Korea, Rep.",H
XKX,Kosovo,UM
KWT,Kuwait,H
KGZ,Kyrgyz Republic,LM
LAO,Lao PDR,LM
LVA,Latvia,H
LBN,Lebanon,LM
LSO,Lesotho,LM
LBR,Liberia,L
LBY,Libya,UM
LIE,Liechtenstein,H
LTU,Lithuania,H
LUX,Luxembourg,H
MAC,"Macao SAR, China",H
MDG,Madagascar,L
MWI,Malawi,L
MYS,Malaysia,UM
